Model,Accuracy,Precision,Recall,F1 Score
ANN,0.9254790631653655,0.9590443686006825,0.7513368983957219,0.8425787106446777
LSTM,0.9205110007097232,0.8502673796791443,0.8502673796791443,0.8502673796791443
Autoencoder,0.7097232079489,0.2535211267605634,0.0481283422459893,0.08089887640449438
